iter	Accuracy	MultiClass
0	0.9332208373	1.014423573
1	0.9530354393	0.9398110539
2	0.9581692275	0.8730778298
3	0.9623360791	0.8137793809
4	0.9644989626	0.7609298728
5	0.9622428656	0.7136033274
6	0.9632930961	0.6711906248
7	0.9626378568	0.631711373
8	0.9631745201	0.5960236427
9	0.961908136	0.5652207733
10	0.9633097459	0.5344254961
11	0.9638568096	0.50635673
12	0.9633683318	0.4815245298
13	0.9638764501	0.4565830718
14	0.9643238034	0.4348583506
15	0.9646876776	0.4141354943
16	0.9647840861	0.3952890132
17	0.9655409508	0.3765198145
18	0.9665897462	0.3585311826
19	0.9674910126	0.3424036329
20	0.9677461872	0.3272808081
21	0.9682300219	0.3133880851
22	0.9697482992	0.3007088406
23	0.9701085496	0.2880133214
24	0.9699566951	0.2763506428
25	0.9698918907	0.265901006
26	0.9700713443	0.2560398497
27	0.9712166719	0.2459002045
28	0.9710170118	0.2384251132
29	0.9709682941	0.2304650952
30	0.9719903625	0.2214006816
31	0.9725564044	0.2129872622
32	0.9731762135	0.2045943762
33	0.9732890109	0.1978888445
34	0.9737961814	0.1905507023
35	0.9740759804	0.1839614944
36	0.9740287626	0.1783867856
37	0.9742905997	0.1729037409
38	0.9744978333	0.1673919846
39	0.974564633	0.1624253653
40	0.9745841603	0.15739865
41	0.9747045173	0.1523880896
42	0.9748018104	0.1480117205
43	0.9749792299	0.1436573965
44	0.975176958	0.1393562036
45	0.9751755236	0.1359029417
46	0.975289358	0.132400925
47	0.975395044	0.1292083037
48	0.9754996543	0.1256704697
49	0.975709064	0.1221996282
50	0.9757118088	0.1198732144
51	0.9757501355	0.1175938428
52	0.9758712113	0.1146693072
53	0.9759391209	0.1119862083
54	0.9759843742	0.1096133844
55	0.9760253499	0.1074604787
56	0.9760314948	0.1054237324
57	0.9760406876	0.1034551623
58	0.9761331558	0.1012429468
59	0.9762167084	0.09935708354
60	0.9763389554	0.09778785806
61	0.9763308554	0.09673530015
62	0.9763539796	0.09525819815
63	0.976467259	0.09371369744
64	0.9764930867	0.09270137389
65	0.9765536599	0.09136985366
66	0.9765183988	0.09044571287
67	0.9765500542	0.08923311339
68	0.9764615973	0.08840678445
69	0.976517134	0.08734521274
70	0.976531665	0.08626910396
71	0.9766283393	0.08535138522
72	0.9766350649	0.08432311481
73	0.9766258571	0.08350335176
74	0.9765918867	0.08270455262
75	0.9766998555	0.08199186268
76	0.9766538801	0.08151792655
77	0.9766772315	0.08084211087
78	0.9766660051	0.08019086546
79	0.9766794139	0.0795994043
80	0.9766866508	0.07879066701
81	0.9767069107	0.07832703879
82	0.9767181892	0.07770226887
83	0.9767886104	0.07704405233
84	0.9767852916	0.0763541273
85	0.976786434	0.07583893634
86	0.9767706267	0.07555770941
87	0.9767697123	0.07516495251
88	0.9767739886	0.07476063409
89	0.976799718	0.0744047023
90	0.9768569404	0.07381461896
91	0.9768539407	0.07342980469
92	0.9768536077	0.07315330814
93	0.9769137273	0.0724889472
94	0.9769775365	0.07214267334
95	0.9769592337	0.07193895928
96	0.9769613383	0.07133638701
97	0.9770146643	0.07105607795
98	0.9770906988	0.07066036363
99	0.9771171517	0.07031456032
100	0.9770981009	0.07017693594
101	0.977127724	0.06979151852
102	0.9771102816	0.0693986622
103	0.9770711647	0.0690018905
104	0.977083375	0.06874175345
105	0.9773076858	0.06851422863
106	0.977172957	0.06819246613
107	0.9772033868	0.0680977975
108	0.9771974608	0.06795099403
109	0.9772106833	0.06773169346
